ID,State_IN,State_OUT
1077501,B,J
1077430,C,I
1077175,C,J
1076863,C,J
1075358,B,B
1075269,A,J
1069639,C,C
1072053,E,J
1071795,F,I
1071570,B,I
1070078,C,J
1069908,B,J
1064687,C,I
1069866,B,J
1069057,B,I
1069759,D,J
1065775,C,J
1069971,A,J
1062474,B,J
1069742,A,J
1069740,C,J
1039153,B,I
1069710,B,J
1069700,B,J
1069559,B,I
1069697,B,J
1069800,C,I
1069657,D,I
1069799,B,J
1047704,B,J
1032111,A,J
1069539,A,J
1065420,C,C
1069591,A,J
1069530,C,J
1069522,B,J
1069361,B,J
1069357,A,J
1069356,B,J
1069346,B,B
1067573,A,J
1069506,A,J
1069314,D,J
1060578,D,J
1069469,A,J
1051117,B,J
1069465,A,I
1069283,B,J
1069287,A,J
1069453,A,J
1069248,B,I
1068120,B,J
1069244,B,J
1069243,C,I
1069238,B,J
1069410,E,I
1068409,E,J
1068487,B,J
1043961,B,J
1068945,D,J
1069142,B,J
1068934,D,D
1069136,C,J
1068923,D,J
1069126,B,I
1069102,B,J
1069093,D,I
1069030,C,J
1068906,F,I
1069073,C,J
1069043,D,J
1060981,D,I
1069071,C,J
1069070,D,J
1068893,A,J
1068882,C,J
1069039,C,J
1068416,F,J
1068997,A,J
1048390,E,J
1068994,D,J
1068475,C,J
1068989,B,J
1068967,A,J
1068744,B,J
1045509,B,J
1063958,D,D
1041756,B,J
1068694,D,J
1068792,C,J
1068558,B,J
1068322,B,J
1065674,E,J
1068547,B,J
1068545,B,J
1068575,F,F
1049528,B,J
1068542,D,I
1068350,A,J
1067874,B,B
1068509,B,I
1034693,D,D
1068508,A,J
1066641,B,J
1068315,A,J
1068309,D,I
1068326,B,J
1066767,C,J
1068484,C,J
1068292,B,J
1068273,A,J
1068274,A,J
1068440,F,J
1046456,B,J
1068012,D,I
1055725,B,J
1061814,A,J
1068232,B,J
1068405,A,J
1068395,B,J
1068202,C,I
1068006,B,I
1068075,B,J
1065642,B,J
1068179,E,I
1068158,A,J
1068180,C,J
1065673,E,J
1068159,A,J
1068165,A,J
1059689,B,J
1066215,C,I
1063270,A,J
1067931,C,J
1067922,A,J
1067919,A,J
1068106,B,J
1068111,A,I
1067655,B,J
1060662,A,J
1061304,E,J
1068095,B,J
1067182,C,J
822464,A,J
1063526,B,J
1068091,B,I
1068090,E,J
1068082,E,J
1068078,B,J
1057633,D,J
1046204,C,J
1067794,B,I
1067816,D,J
1068018,C,I
1052996,B,J
1067818,C,I
1064842,C,J
1067109,A,J
1067971,B,J
1057518,B,J
1067473,C,J
1062177,D,J
1067447,B,J
1059412,A,J
1062608,C,J
1067664,B,J
1067441,C,J
1067654,B,B
1067644,A,I
1062288,B,J
1067434,B,J
1067419,C,J
1067601,C,J
1067579,B,J
1067563,B,J
1067364,C,I
1067152,D,I
1062471,F,I
1066842,B,J
1067126,B,I
1067326,B,J
1066789,B,J
1067324,D,I
1067102,D,I
1046969,C,C
1067084,B,J
1067090,B,J
1060875,C,C
1067265,B,I
1067287,B,J
1067066,B,J
1067283,B,J
1067266,D,D
1066635,D,J
1067026,A,J
1067038,C,I
1067030,B,J
1065350,B,J
1067028,B,J
1061877,C,J
1067018,C,J
1067223,B,J
1067004,C,J
1031265,B,I
1066835,D,I
1067181,B,J
1067179,A,J
1067172,C,J
1066712,B,J
1066706,E,J
1066836,C,J
1066826,C,J
1063280,C,I
1057447,C,J
1040867,A,J
1065232,B,J
1052492,C,J
1066664,D,D
1066659,D,D
1066763,B,J
1066798,B,I
1066639,C,J
1066633,C,J
1060644,G,J
1066766,A,I
1066613,D,I
1065648,B,I
1066768,A,J
1066617,D,J
1062015,B,J
1066598,B,J
1066503,B,I
1066530,A,J
1066520,B,J
1065929,A,J
1066582,A,J
1066348,A,J
1061430,F,J
1061519,C,J
1066344,B,B
1066480,B,J
1066471,B,J
1064063,D,D
1066318,C,J
1066453,B,J
1063090,B,J
1061406,A,J
1066278,B,J
1066281,B,J
1056150,D,J
1066434,E,J
1048526,B,I
1028566,A,J
1066424,A,J
1066212,B,J
1066232,B,I
1056219,A,J
1066199,B,J
1060851,B,J
972383,A,J
1066191,B,J
1066173,C,C
1066379,C,J
1066364,C,J
1066140,A,J
1066171,B,J
1066162,A,I
1040154,B,J
1066155,E,J
1065382,A,J
1063447,C,I
1065932,B,J
1065936,A,J
1066112,B,I
1066084,A,J
1066081,A,J
1065896,A,J
1066065,A,J
1066071,A,I
1062094,B,J
1061154,C,J
1066061,A,J
1065863,A,J
1065862,B,J
1065854,A,J
1065145,C,C
1062260,C,J
1065842,B,J
1066018,B,J
1049352,B,J
1066016,A,J
1065997,D,J
1061891,B,J
1065752,B,J
1063126,B,J
1065738,A,J
1061467,B,J
1065721,B,J
1065717,B,J
1065026,D,I
1057001,B,I
1065513,D,I
1065698,B,J
1065681,C,J
1061788,E,I
1065484,D,J
1061681,E,J
1065661,A,J
1065663,B,J
1065480,B,J
1065658,C,J
1065447,A,J
1065470,B,J
1065467,E,I
1065649,E,I
1065430,B,J
1059462,A,J
1064102,C,I
1062399,D,H
1065572,D,J
1065567,C,J
1065342,C,C
1065355,B,J
1058717,D,J
1065348,B,I
890389,A,J
1065142,E,E
1065320,E,E
1065304,B,I
1065180,C,J
1065298,C,J
1064904,B,J
1064696,A,J
977277,B,B
1065260,B,J
1059734,D,D
1065110,D,J
1047987,C,J
1065104,B,B
1065103,B,I
1065254,A,I
1064873,B,J
1065244,C,J
1064969,C,J
1059620,B,I
1032978,D,J
1065234,B,J
1064958,E,E
1065196,B,I
1065199,C,J
1065195,B,J
1065020,A,J
1065016,D,J
1064924,A,J
1064940,A,J
1064932,C,J
1062248,A,I
1064985,C,J
1064926,A,J
1064908,C,J
1059118,A,J
1064897,E,E
1064754,E,I
1060082,C,J
1064736,C,J
1064727,B,I
1042668,B,J
1064862,C,C
1064711,B,J
1032875,A,J
1064830,D,J
1064681,B,J
1064383,B,J
1064675,B,J
1064666,B,J
1064639,E,E
1064636,A,I
1064805,A,J
1064635,C,J
1064793,A,J
1056865,B,I
1064783,B,I
1064623,B,J
1064792,B,J
1062701,B,J
1064781,A,J
1064774,B,J
1053765,B,J
1064608,A,I
1064589,B,B
1064558,D,J
1064585,D,D
1064548,A,J
1064462,B,J
1064582,B,J
1064579,B,J
1046511,C,J
1029191,D,J
1064527,C,J
1064567,C,J
1064500,A,J
1063899,C,J
1057598,C,J
1052002,F,F
1064323,C,J
1064317,C,J
1064471,B,J
1060374,D,J
1064452,F,J
1064453,A,J
1064284,C,J
1063081,A,J
1064251,E,I
1064407,B,J
1035800,C,I
1063678,B,J
1059751,C,J
1064386,B,B
1055800,A,J
1064221,B,J
1064210,A,J
1064209,A,J
1064366,C,I
1064216,A,J
1064150,C,I
1056864,E,J
1064146,C,J
1064183,A,J
1064185,B,J
1064126,D,J
1029473,C,I
1057239,E,E
1064128,C,J
1063949,B,I
1064166,A,J
1064133,D,I
1064094,D,D
1063505,A,J
1063528,B,J
1063912,A,J
1064082,B,J
1063892,A,J
1064061,A,J
1063876,A,J
1042841,A,J
1063864,A,J
1064051,E,J
1063847,A,J
1062833,D,J
1062032,B,J
1063843,D,J
1063828,B,J
1064006,B,J
1063729,C,C
1062625,B,J
1062070,B,J
1063964,B,J
1063804,A,J
1063751,D,I
1063982,B,J
1063972,A,J
1063785,A,J
1063788,D,I
1063485,A,J
1063781,B,I
1057766,B,J
1063778,D,I
1062818,E,J
1042037,B,J
1063518,D,J
1063515,B,J
1063524,A,J
1063519,C,J
1063521,A,J
984879,B,J
1063509,D,J
1063693,D,I
1063700,D,J
1056934,B,J
1063246,D,J
1057424,A,I
1063680,B,J
1063679,A,J
1063034,A,J
1063448,C,I
1063431,B,B
1060804,B,J
1027771,A,J
1063653,E,E
1063421,A,I
1062855,C,J
1062490,E,J
1063626,C,C
1063407,A,J
1063609,C,J
1063602,B,B
1063393,E,I
1063388,A,J
1063582,C,J
988402,B,J
1063564,C,J
1063121,B,J
1063275,B,J
1057756,D,J
1059960,B,J
1059525,C,I
1062577,C,J
1053188,B,J
1063098,B,J
1063238,C,J
1062043,C,J
1063228,B,J
1039993,B,B
1063197,D,J
1063069,B,I
1063062,C,J
1063199,D,J
1063187,C,J
1063040,B,J
1063020,C,J
1062929,D,J
1063003,C,J
1063001,E,J
1062997,C,I
1061315,D,J
1062808,A,J
1062918,B,I
1062983,B,J
1061530,A,J
1035958,C,J
1062894,B,J
1062895,E,J
1062976,E,I
1061972,A,J
1062897,A,I
1062857,B,J
1059828,B,J
1059486,C,I
1062887,B,J
1062851,E,I
1062756,G,G
1062844,D,I
1062753,F,J
1062873,C,J
1062860,D,J
1062738,C,J
1062864,D,I
1062734,B,I
1052370,B,J
1058564,A,J
1062584,D,J
1062253,D,J
1062795,C,J
1062614,B,J
1061378,B,J
1062781,A,J
1023158,A,J
1062654,B,J
1062665,C,J
1062555,C,I
1062606,A,I
1062643,B,J
1062535,B,J
1062536,A,I
765927,A,J
1031451,B,J
1062612,E,E
1062510,B,J
1062508,C,C
1036838,D,I
1062478,B,I
1055974,A,J
1062462,E,J
1062458,B,J
1062454,D,I
1060762,B,J
1062564,B,J
1061570,C,J
1062418,A,J
1062413,B,J
1062330,A,I
1062414,D,I
1060966,D,J
1062401,B,I
1057454,B,J
1062179,D,J
1062293,B,J
1062384,B,J
1031348,D,I
1062268,D,I
1062161,C,J
1062369,E,E
1061409,B,J
1061705,D,J
1062146,F,I
1058699,B,J
1062150,B,J
1062257,E,I
1061420,E,J
1062250,A,I
1020855,B,J
997521,B,I
1058624,G,I
1062232,B,J
1062235,C,J
1060429,B,J
1062102,E,E
1060885,D,H
1060630,E,J
1062192,C,J
1059016,A,J
1056174,A,J
1062045,B,J
1059395,E,J
1062012,B,J
1061941,D,D
1031266,C,I
1061975,D,J
1061914,G,I
1061750,B,J
1061741,B,I
1061747,D,D
1040188,B,J
1057749,B,I
1061721,D,D
1061869,C,I
1060650,A,J
1059701,A,J
1061842,E,J
1061837,A,J
1057272,E,J
1061675,D,J
1061661,B,I
1061656,B,J
1061776,B,J
1061767,B,J
1052746,D,D
1061643,B,I
1061785,C,J
1061623,A,J
1030795,A,J
1061598,A,J
1061772,E,J
1058931,C,I
1061355,B,J
1061593,C,J
1061581,C,C
1061583,B,J
1059572,B,J
1053004,A,J
1061496,C,I
1051434,D,J
1058174,B,J
1061547,C,J
1061317,B,B
1061306,E,J
1061515,C,J
1058858,D,I
1051045,D,D
1060415,B,J
1061279,A,J
1058942,D,J
1042958,B,J
1061251,A,J
1058015,B,J
1059858,C,J
1061247,B,J
1061250,E,J
1061245,B,J
1060411,B,J
1061416,A,J
1040053,D,J
1061227,E,J
1061403,C,J
1061413,C,J
1061202,A,J
1061204,C,J
1061380,A,J
1061193,D,J
1051953,B,B
1061194,A,J
1060945,B,J
1057719,A,J
1059906,B,B
1061383,B,J
1050511,A,J
1061175,B,J
1061122,B,J
1061095,E,J
1061164,B,J
1060436,E,I
1061133,A,J
1060855,D,J
1058477,B,J
1060995,B,I
1061135,B,I
1059939,B,J
1060951,C,J
1046507,B,J
1060880,C,J
1060934,B,I
1061128,B,J
1061130,C,I
1061126,D,J
1056057,B,B
1060895,C,J
1061106,C,J
1060925,B,J
1045240,E,E
1024951,C,J
1061070,B,J
1061060,A,J
1055190,B,J
1060848,C,C
1053622,D,D
1060865,E,E
1051018,C,J
1059259,A,J
1060853,E,E
1060831,C,J
1058228,C,J
1060841,A,J
1056914,D,J
1060794,A,J
1061003,C,J
1061008,A,J
1060779,A,J
1060993,A,J
1060553,C,I
1058200,C,J
1060544,D,J
1060979,D,I
1060698,B,J
1060970,B,I
1060760,D,J
1060753,G,J
1060559,B,J
1060696,C,J
1060735,B,J
1060720,B,I
1060558,A,J
1060731,A,J
1060536,B,J
1060721,B,J
1060527,A,J
1060714,B,J
1060508,C,J
1059582,C,J
1060481,B,J
1052346,D,H
1054397,E,J
1055294,C,J
1060485,B,I
1060697,E,J
1060670,B,J
1060452,B,J
1051471,C,I
1059954,D,J
1059310,D,J
1055282,C,J
1060631,B,B
1058486,C,J
1060427,C,J
1060418,B,J
1060605,A,J
1060597,C,J
1060600,B,B
1053763,F,I
1060581,D,D
1060372,A,J
1060371,D,J
1060369,A,J
1060365,B,J
1060086,D,I
1058493,A,J
1059978,B,J
1059252,C,J
1060167,B,J
1059974,B,J
1060046,B,J
1060030,C,J
1059948,A,I
1060036,A,J
1055631,E,J
1060019,E,I
1053454,A,I
1059930,D,D
1060004,C,J
1060015,B,J
1059936,C,J
1059288,C,C
1052230,B,J
1059996,A,J
1059887,B,J
1010310,B,J
1059889,D,J
1059736,A,J
1059870,C,J
1059874,A,I
1032863,B,I
1054178,B,B
1059843,C,J
1057243,C,I
1059785,D,J
1059698,C,C
1059704,A,J
1059801,C,J
1059605,B,J
1058085,B,J
1059157,C,I
1059627,D,D
1023566,C,J
1059657,B,J
1059639,A,J
1059571,D,J
1059623,C,C
1059629,B,J
1057474,D,D
1059603,A,J
1059522,B,I
1059529,C,J
1059502,D,I
1058733,B,J
1059497,B,J
1059433,A,J
1059469,D,J
1048973,B,B
1059444,C,J
1059311,D,J
1059333,D,J
1055994,C,I
1059386,C,J
1059289,A,J
1058552,A,J
1059461,E,I
1059312,F,J
1058031,B,J
1059447,E,J
1059319,E,I
1059274,C,C
1059291,D,I
1059280,B,J
1059284,E,E
1059362,C,J
1059262,B,J
1059409,E,I
1057384,A,J
1058892,C,I
1059282,C,C
1052360,A,J
1059251,A,J
1059227,C,J
1059236,B,J
1042427,B,B
1059210,D,J
1059174,B,J
1057064,B,J
1059199,D,J
1048482,E,E
1058946,C,J
1059186,C,J
1059120,A,A
1050101,B,J
1059128,A,A
1058958,A,J
1032427,C,J
1058956,B,J
1058959,D,J
1058952,E,E
1055920,B,J
1059103,A,J
1059046,B,J
1058943,D,J
1059100,A,J
1058926,A,J
1034052,B,J
1057403,B,I
1058924,A,J
1058885,F,F
1058877,A,J
1059041,B,J
1059039,C,J
1059024,D,J
1054453,A,I
1058814,C,J
1058830,A,J
1053112,B,J
1058317,B,J
1058846,B,J
1058824,F,I
1058828,C,J
1058831,B,J
1052449,B,J
1058974,E,E
1058734,D,I
1058209,C,J
1058749,B,J
1058782,A,J
1056831,D,J
1054373,B,J
1058744,C,J
1047572,A,J
1056011,C,J
1058718,B,J
1058792,D,J
1058556,B,J
1058407,B,J
1029236,A,J
1058698,E,E
1058696,A,J
1058411,C,C
1058515,B,I
1058110,B,I
1058519,B,I
1058494,A,J
1058634,B,J
1058483,C,I
1055678,C,J
1058484,F,I
1058615,A,J
1058603,B,J
1058625,F,F
1058468,D,J
1058440,D,J
1058451,B,J
1058596,B,J
1058578,A,J
1058423,B,J
1057201,F,I
1058396,B,J
1046641,E,J
1053982,A,J
1058372,C,I
1051228,A,A
1058368,D,J
1058155,B,J
1057701,A,J
1058301,D,I
1058237,A,J
1058309,B,I
1058318,C,J
1058381,C,C
1058282,C,J
1051960,D,J
1058289,C,J
1058241,C,J
1058276,B,J
1058123,C,J
1058126,D,I
1058242,B,J
1058119,C,J
1058084,B,J
1058111,B,I
1053505,B,J
1058101,D,D
1058072,A,J
1058082,E,I
1058221,B,J
1058078,C,J
1058213,A,J
1058059,B,J
1058060,D,J
1055436,D,J
1058186,D,I
1054438,A,J
1058203,B,J
1058042,F,J
1058195,A,J
1053728,C,J
1058177,C,I
1054408,F,F
1058173,D,D
1057996,B,J
1058162,C,I
1055265,B,J
1018385,A,J
1054294,C,J
1057750,B,I
1057923,B,J
1057816,B,J
1057900,A,J
1056770,B,I
1057710,B,J
1057323,D,J
1057878,B,J
1057726,B,J
1057720,E,I
1049053,C,J
1057448,E,J
1057669,F,J
1050535,D,J
1057674,C,J
1057806,B,J
1057615,A,J
1057818,A,J
1057629,C,J
1057621,B,J
1057787,B,J
1057770,E,E
1057275,D,J
1057330,C,J
1057773,C,J
1057343,C,J
1057562,B,J
1057776,B,J
